run,method,coverage,coverage_ci_low,coverage_ci_high,mean_width,width_ci_low,width_ci_high,median_width,width_p10,width_p90,mean_interval_score,interval_score_ci_low,interval_score_ci_high,fallback_fraction
random_size_matched_seed44,pheno,0.9036447423544198,0.8907278257863444,0.9156748270617672,1.473387048606971,1.4619310150548317,1.484874751059779,1.508281643208858,1.1784500758646068,1.7538438558710912,2.235795734070687,2.09300741088656,2.396374344903509,0.0008378718056137
random_size_matched_seed44,mie,0.9019689987431924,0.8887954198825674,0.9142621153712606,1.4775103151874684,1.4725916107981292,1.482667026470946,1.4494771086203526,1.390728858052282,1.6195872598600358,2.260506012463609,2.1133853575363264,2.4214758175918867,0.0058651026392961
random_size_matched_seed45,global,0.8899765074393109,0.8762445861216209,0.9023444716914624,1.430219749929979,1.4302197499300244,1.4302197499300289,1.4302197499299787,1.4302197499299787,1.4302197499299787,2.290281839447817,2.1422584128623505,2.4431029635059316,0.0
random_size_matched_seed45,joint,0.8888018794048551,0.8752424943592577,0.9013339805825242,1.3669442478522746,1.3553035702302765,1.378604078460014,1.337352963871445,1.0835808592649414,1.679518896336198,2.219898333726492,2.0742778990404993,2.368333735555753,0.0144870790916209
random_size_matched_seed45,pheno,0.8919342208300705,0.8783835473370585,0.9043581484252172,1.4000992818139817,1.38919152135851,1.4109116780408395,1.383954230789322,1.1459505336608604,1.7181617603590853,2.234604145971698,2.0874035739673364,2.3845011219399437,0.0003915426781519
random_size_matched_seed45,mie,0.8915426781519186,0.877781788135321,0.904191674365774,1.4063717747208258,1.4007878053932916,1.4124016771859762,1.3734485186660417,1.3117964244451,1.5360269414886891,2.2383181895799984,2.096736994477351,2.3856648143834818,0.009397024275646
random_size_matched_seed46,global,0.9027450980392157,0.8895867382456053,0.9150779127281516,1.516119166774888,1.5161191667748546,1.516119166774857,1.516119166774888,1.516119166774888,1.516119166774888,2.311065756894379,2.1668859115723578,2.4836896564756095,0.0
random_size_matched_seed46,joint,0.8968627450980392,0.8840579710144928,0.909343248570318,1.4323277582300555,1.4202975220595224,1.4449369634006737,1.4160220193515096,1.1379397892371177,1.7329424414078556,2.2369936593687205,2.0905508382733147,2.414749154676222,0.0117647058823529
random_size_matched_seed46,pheno,0.9023529411764706,0.8897306604258263,0.9147182632023596,1.4840154475120957,1.4709116044377155,1.4974172229659353,1.4873295373475788,1.1517223503828085,1.857537235920491,2.2553184650562423,2.1122942607642488,2.429576443187914,0.000392156862745
random_size_matched_seed46,mie,0.8972549019607843,0.8843995334685598,0.9099065726987852,1.4598094729403182,1.4537827998753143,1.467043672032371,1.4203872486994396,1.3768453741367308,1.550864667660881,2.270899914074371,2.1265438816326765,2.441505945739014,0.0086274509803921
repaired_reference,global,0.9020230067433558,0.889373081717674,0.9136509366977988,1.5128929482477975,1.512892948247861,1.5128929482478668,1.5128929482477975,1.5128929482477975,1.5128929482477975,2.3152258779668244,2.1612392085968035,2.4762496371748837,0.0
repaired_reference,joint,0.89289964299881,0.8802697111743101,0.9050044546265462,1.4204395299219763,1.4101172747151358,1.431226746645819,1.4640210483221487,1.0945712637770804,1.6653066559204914,2.2441752871664713,2.0935283580219095,2.408735360478652,0.0083300277667592
repaired_reference,pheno,0.8980563268544228,0.8856927744177099,0.9102267439471724,1.4572025744016368,1.4471121945720815,1.467357900878935,1.5643796054533397,1.1278161549709935,1.671760056983736,2.248560925453948,2.0996298367561113,2.409756197941321,0.0015866719555731
repaired_reference,mie,0.8913129710432368,0.877871408719258,0.9038765490900098,1.4519993786667298,1.4484771773817773,1.4558680195499043,1.4282380599124824,1.3895825215810556,1.5499745900082118,2.3002500558862904,2.1435794162512005,2.4657945635009826,0.0043633478778262
