seed,model,n_train,n_calibration,n_test,trees,rmse,mae,r2,spearman,rmse_ci_low,rmse_ci_high,coverage_0.8,width_0.8,coverage_0.9,width_0.9,coverage_0.95,width_0.95,interval_score_90,mse,ccc
44,Baseline,8021,2176,2387,328,0.5244752456497069,0.3685464597287408,0.4539115905525358,0.6542475573720624,0.4892715708142965,0.5584133316453089,0.8265605362379556,1.2169294962068982,0.9212400502723084,1.823992621540074,0.9648093841642228,2.513456178029216,2.4963103517383507,0.2750742832993205,0.6163984342178247
44,PCA,8021,2176,2387,198,0.5345202049231924,0.3726861023110299,0.4327934710341242,0.6509947185360068,0.4981233180404249,0.5705997413160524,0.8206954335986594,1.2246521136417703,0.9090909090909092,1.789440562254896,0.9597821533305404,2.4058232147401135,2.552868334810148,0.28571184947113165,0.594766663000782
44,ADME,8021,2176,2387,341,0.4905079420929791,0.3425012823005096,0.5223551976945313,0.7056607236924219,0.4573432573652033,0.5232275539902196,0.8307498952660243,1.106891585666391,0.9195643066610808,1.6423440243647818,0.9589442815249268,2.2501008387941432,2.355667049164324,0.24059804125628934,0.6681248327824174
44,Plain,8021,2176,2387,699,0.5151742150865072,0.3580320302843492,0.4731084848199197,0.6797696011159191,0.4793012525004088,0.5495619438921954,0.8165060745705907,1.122428870909511,0.9145370758273984,1.6743002711601358,0.9597821533305404,2.330537528535487,2.468184495888648,0.26540447188999877,0.6330607996846768
44,BBB pass,5398,1462,1699,335,0.4730239243037894,0.3332625338145418,0.3798129938591532,0.6247646760440468,0.4348221802836159,0.5137545321945046,0.8151854031783402,1.063414052550387,0.912889935256033,1.5058758868775834,0.9576221306650972,2.0431727086758977,2.1925655592130737,0.2237516329637571,0.5539292663516092
45,Baseline,8005,2025,2554,721,0.5405254172957941,0.3683225735859496,0.4725655449685888,0.6905005600660054,0.4959117987441083,0.5899360909451823,0.7944400939702427,1.0914091389384355,0.8888018794048551,1.5256933826341736,0.9502740798747064,2.1398141378384947,2.5540185458595923,0.29216772674279234,0.6510468085279244
45,PCA,8005,2025,2554,762,0.5396146776759702,0.3656175594063581,0.4743414125246336,0.6929881396694989,0.4971817450544091,0.5836530539242223,0.803054032889585,1.0985188746926982,0.89389193422083,1.539199111047906,0.9487079091620988,2.1644659564614503,2.5565144200190626,0.2911840003633411,0.6506519236742664
45,ADME,8005,2025,2554,352,0.5039657080264056,0.3388124309279338,0.5415011740674993,0.735131424225613,0.4628950395356742,0.5471021154489383,0.7889584964761159,0.996290396519144,0.9021143304620204,1.451632809269003,0.9541895066562256,2.019840474743951,2.3701426854321044,0.25398143486655633,0.6934129729976689
45,Plain,8005,2025,2554,706,0.536680191499575,0.359868650574459,0.480043049910228,0.7018035581581609,0.4905294848346718,0.5857196551068097,0.8050117462803446,1.0581865578627294,0.8852779953014879,1.4464487607371117,0.951840250587314,2.115021699491976,2.55389026116202,0.2880256279480205,0.6488908594982117
45,BBB pass,5398,1384,1777,191,0.4811418376189058,0.3294037467146969,0.3549601112643953,0.6311167068609087,0.4404285978343459,0.5225212549538675,0.7743387732132808,0.9423997295713242,0.8987056837366347,1.3828589444451609,0.9375351716375916,1.8025808189795829,2.237734423997335,0.23149746790729747,0.5364542113926885
46,Baseline,8129,1905,2550,456,0.5153192412888924,0.36047838269973,0.4553197525916153,0.6658140753548104,0.476327988620959,0.5541819565118901,0.8086274509803921,1.12092694671919,0.8976470588235295,1.5728485797135845,0.9466666666666668,2.1025691807011855,2.454328306947835,0.26555392044255965,0.6451106965426757
46,PCA,8129,1905,2550,205,0.5112033292549232,0.3576021150231471,0.4639858485944487,0.6666720844329673,0.4749038260709842,0.5489936174453067,0.8090196078431372,1.1315363941482124,0.9003921568627451,1.576213609232994,0.951372549019608,2.1692599207696723,2.411475299783375,0.26132884384131744,0.6402180593608147
46,ADME,8129,1905,2550,355,0.4888705375524083,0.3411426954821751,0.5097962400299934,0.6990660248634566,0.4527640666054185,0.5277747598533301,0.812156862745098,1.0498666928663931,0.9003921568627451,1.4831576783617235,0.9431372549019608,1.9733546919043885,2.335492289831946,0.2389944024867806,0.681464051061613
46,Plain,8129,1905,2550,706,0.4937571998226174,0.3413599684281385,0.4999472827739095,0.6869145439479668,0.456866205429344,0.5321754057663773,0.8156862745098039,1.0816983311836452,0.9054901960784314,1.525581914303583,0.9415686274509804,1.9725720765604375,2.356529199524062,0.24379617237667214,0.6716912195765979
46,BBB pass,5511,1358,1690,254,0.4703860117975366,0.3300090732460415,0.3932478418860784,0.6201188172621758,0.4263497670930312,0.5166734457294528,0.8005917159763314,1.0027154587625446,0.8940828402366864,1.388004331992299,0.9355029585798816,1.820193538913049,2.227319077350544,0.2212630000947923,0.5596309917235738
