feature,mean_absolute_shap,group
FP_1007,0.00011368049787799008,fingerprints
FP_613,0.00011322789281982455,fingerprints
FP_345,0.00011306838684534185,fingerprints
FP_243,0.00011193473685493482,fingerprints
FP_1805,0.0001108710952370872,fingerprints
FP_957,0.0001105559498314207,fingerprints
FP_133,0.00011014556366846151,fingerprints
FP_893,0.00010988317281273101,fingerprints
FP_1553,0.00010977013788863501,fingerprints
FP_343,0.00010918585990110648,fingerprints
FP_1368,0.0001084699532782322,fingerprints
FP_1513,0.0001083874101028392,fingerprints
FP_498,0.00010793896290499304,fingerprints
FP_204,0.00010724533235152181,fingerprints
FP_563,0.00010635767629411301,fingerprints
FP_530,0.00010611117997039988,fingerprints
FP_1975,0.0001053768384632519,fingerprints
FP_83,0.00010513221379059704,fingerprints
FP_492,0.00010499710320397923,fingerprints
FP_687,0.00010468073128935558,fingerprints
FP_512,0.0001040010599230736,fingerprints
FP_1914,0.00010353570816524655,fingerprints
FP_1265,0.00010341073011856903,fingerprints
FP_1045,9.69795191361651e-05,fingerprints
FP_291,9.480115532552842e-05,fingerprints
FP_867,9.43522102040796e-05,fingerprints
FP_39,9.398578007679041e-05,fingerprints
FP_464,9.361010014077787e-05,fingerprints
FP_860,8.889092304553474e-05,fingerprints
FP_1256,8.877634247962309e-05,fingerprints
FP_26,8.87558951947843e-05,fingerprints
FP_383,8.758036061936393e-05,fingerprints
FP_1868,8.727754916006573e-05,fingerprints
FP_601,8.687513044898198e-05,fingerprints
FP_1671,8.657930462755132e-05,fingerprints
FP_962,8.651224770560295e-05,fingerprints
FP_334,8.609246107673898e-05,fingerprints
FP_1090,8.398072880277227e-05,fingerprints
FP_1394,8.222478404272338e-05,fingerprints
FP_882,8.000883273837425e-05,fingerprints
FP_446,7.845398271884117e-05,fingerprints
FP_1101,7.839099646406344e-05,fingerprints
FP_729,7.674526085545059e-05,fingerprints
FP_1016,7.610435998373413e-05,fingerprints
FP_938,7.549609757208165e-05,fingerprints
FP_134,7.536394425120567e-05,fingerprints
FP_148,7.235563209298697e-05,fingerprints
FP_481,7.192033783565946e-05,fingerprints
FP_1962,7.176141913183099e-05,fingerprints
